TenPct_AGthighX, TenPct_AGthighY, TenPct_AGthighZ, TwentyFivePct_AGthighX, TwentyFivePct_AGthighY, TwentyFivePct_AGthighZ, FiftyPct_AGthighX, FiftyPct_AGthighY, FiftyPct_AGthighZ, SeventyFivePct_AGthighX, SeventyFivePct_AGthighY, SeventyFivePct_AGthighZ, NinetyPct_AGthighX, NinetyPct_AGthighY, NinetyPct_AGthighZ
-1.74E-01,-3.42E-01,-1.04E+00,-1.35E-01,-3.19E-01,-1.00E+00,-8.38E-02,-3.00E-01,-9.62E-01,-1.75E-02,-2.80E-01,-9.27E-01,2.14E-02,-2.61E-01,-8.91E-01
-7.60E-02,-3.46E-01,-1.03E+00,-3.70E-02,-3.19E-01,-1.00E+00,-1.75E-02,-3.00E-01,-9.66E-01,1.36E-02,-2.80E-01,-9.35E-01,4.09E-02,-2.64E-01,-9.07E-01
-2.16E-01,-3.19E-01,-1.03E+00,-9.16E-02,-3.03E-01,-1.00E+00,-3.70E-02,-2.84E-01,-9.66E-01,-9.70E-03,-2.64E-01,-9.35E-01,2.53E-02,-2.45E-01,-9.03E-01
-7.21E-02,-3.07E-01,-1.04E+00,-3.31E-02,-2.92E-01,-1.01E+00,-9.70E-03,-2.72E-01,-9.74E-01,2.92E-02,-2.57E-01,-9.43E-01,6.82E-02,-2.37E-01,-9.11E-01
-6.04E-02,-3.23E-01,-1.03E+00,-2.92E-02,-3.07E-01,-1.01E+00,-5.80E-03,-2.88E-01,-9.70E-01,2.53E-02,-2.72E-01,-9.35E-01,5.65E-02,-2.57E-01,-9.15E-01
-7.99E-02,-3.35E-01,-1.05E+00,-4.48E-02,-3.03E-01,-1.01E+00,-5.80E-03,-2.72E-01,-9.70E-01,3.70E-02,-2.45E-01,-9.35E-01,7.21E-02,-2.22E-01,-9.03E-01
-6.04E-02,-3.07E-01,-1.05E+00,-2.53E-02,-2.88E-01,-1.01E+00,1.36E-02,-2.64E-01,-9.70E-01,4.87E-02,-2.41E-01,-9.43E-01,8.38E-02,-2.26E-01,-9.11E-01
-7.20E-01,-7.35E-01,-2.45E-02,-6.42E-01,-6.54E-01,2.47E-01,-5.29E-01,-3.46E-01,6.26E-01,-3.72E-01,5.10E-01,8.31E-01,-2.36E-01,7.59E-01,9.68E-01
-7.35E-01,-7.20E-01,-8.36E-02,-6.73E-01,-6.34E-01,1.37E-01,-5.60E-01,-6.21E-02,6.53E-01,-3.33E-01,6.19E-01,8.23E-01,-1.85E-01,8.21E-01,9.57E-01
-7.70E-01,-7.35E-01,-1.19E-01,-7.00E-01,-6.46E-01,7.00E-02,-5.79E-01,3.90E-03,6.06E-01,-3.26E-01,6.77E-01,7.75E-01,-1.81E-01,8.29E-01,8.94E-01
-7.63E-01,-7.55E-01,-7.18E-02,-6.96E-01,-6.54E-01,9.76E-02,-5.68E-01,-2.71E-02,5.74E-01,-3.26E-01,6.73E-01,7.60E-01,-2.05E-01,8.40E-01,9.01E-01
-7.78E-01,-8.01E-01,-1.15E-01,-7.08E-01,-7.20E-01,7.00E-02,-5.75E-01,-1.93E-02,5.39E-01,-2.91E-01,6.93E-01,7.00E-01,-1.66E-01,8.48E-01,8.50E-01
-7.86E-01,-7.82E-01,-1.07E-01,-7.16E-01,-7.04E-01,8.18E-02,-5.83E-01,-6.99E-02,5.67E-01,-3.26E-01,6.73E-01,7.24E-01,-2.05E-01,8.40E-01,8.70E-01
-7.90E-01,-7.78E-01,-1.59E-01,-7.24E-01,-7.16E-01,1.48E-02,-5.87E-01,4.28E-02,5.07E-01,-3.10E-01,7.04E-01,7.00E-01,-2.24E-01,8.48E-01,8.66E-01
-7.98E-01,-7.51E-01,-1.78E-01,-7.24E-01,-6.73E-01,2.66E-02,-5.75E-01,1.56E-02,5.55E-01,-3.02E-01,6.85E-01,7.56E-01,-1.77E-01,8.44E-01,9.21E-01
-8.02E-01,-7.78E-01,-1.78E-01,-7.31E-01,-6.81E-01,3.06E-02,-6.14E-01,-5.43E-02,5.47E-01,-3.37E-01,6.15E-01,7.56E-01,-1.93E-01,7.98E-01,8.94E-01
-2.09E-01,7.20E-01,-5.72E-01,-1.85E-01,8.25E-01,-4.90E-01,-1.58E-01,9.42E-01,-3.16E-01,-1.23E-01,1.03E+00,-1.94E-01,-8.38E-02,1.11E+00,-1.43E-01
-1.85E-01,7.28E-01,-5.88E-01,-1.66E-01,8.44E-01,-4.97E-01,-1.46E-01,9.42E-01,-3.00E-01,-1.23E-01,1.02E+00,-1.98E-01,-9.55E-02,1.09E+00,-1.39E-01
-2.36E-01,7.47E-01,-5.17E-01,-2.09E-01,8.48E-01,-4.38E-01,-1.81E-01,9.53E-01,-2.65E-01,-1.46E-01,1.03E+00,-1.51E-01,-1.23E-01,1.09E+00,-8.36E-02
-2.44E-01,7.35E-01,-5.41E-01,-2.20E-01,8.40E-01,-4.30E-01,-1.93E-01,9.49E-01,-2.61E-01,-1.66E-01,1.02E+00,-1.62E-01,-1.31E-01,1.08E+00,-1.11E-01
-2.52E-01,7.24E-01,-5.72E-01,-2.24E-01,8.37E-01,-4.66E-01,-1.97E-01,9.38E-01,-3.20E-01,-1.62E-01,1.01E+00,-1.94E-01,-1.31E-01,1.07E+00,-1.55E-01
-4.31E-01,-1.28E+00,-3.28E-01,-3.69E-01,-1.17E+00,-2.92E-01,-2.87E-01,-9.73E-01,-2.29E-01,-2.09E-01,-7.66E-01,-1.07E-01,-1.54E-01,-6.89E-01,-5.21E-02
-4.78E-01,-1.22E+00,-3.28E-01,-3.88E-01,-1.14E+00,-2.89E-01,-3.06E-01,-9.14E-01,-2.26E-01,-2.36E-01,-7.27E-01,-9.94E-02,-1.77E-01,2.30E-01,-5.60E-02
-8.72E-01,-1.23E+00,-3.56E-01,-5.32E-01,-1.10E+00,-2.73E-01,-3.41E-01,-8.36E-01,-1.62E-01,-2.52E-01,-6.69E-01,-6.00E-02,-1.85E-01,-9.33E-02,1.02E-01
-4.39E-01,-1.25E+00,-5.60E-01,-3.61E-01,-1.15E+00,-2.89E-01,-2.79E-01,-8.99E-01,-2.26E-01,-1.85E-01,-7.16E-01,-9.94E-02,2.79E-01,4.20E-01,-4.03E-02
-6.30E-01,-1.28E+00,-4.46E-01,-4.08E-01,-1.16E+00,-2.81E-01,-3.18E-01,-8.91E-01,-1.55E-01,-2.28E-01,-7.16E-01,-5.60E-02,-1.62E-01,-1.40E-01,1.87E-02
-4.19E-01,-1.29E+00,-2.02E-01,-3.49E-01,-1.20E+00,-1.59E-01,-2.75E-01,-9.84E-01,-7.18E-02,-1.89E-01,-7.78E-01,2.27E-02,-1.27E-01,-7.08E-01,6.21E-02
-4.27E-01,-1.33E+00,-2.06E-01,-3.69E-01,-1.22E+00,-1.62E-01,-2.71E-01,-9.96E-01,-7.18E-02,-1.85E-01,-7.90E-01,2.66E-02,-1.15E-01,-7.12E-01,7.39E-02
-4.00E-01,-1.31E+00,-1.98E-01,-3.45E-01,-1.20E+00,-1.55E-01,-2.67E-01,-9.96E-01,-8.36E-02,-1.89E-01,-7.63E-01,1.48E-02,-1.27E-01,-7.08E-01,6.60E-02
-4.74E-01,-1.28E+00,-8.09E-01,-3.53E-01,-1.13E+00,-5.21E-01,-2.32E-01,-8.17E-01,-1.74E-01,1.77E-01,3.74E-01,-6.00E-02,3.84E-01,5.88E-01,2.66E-02
-4.97E-01,-1.28E+00,-2.33E-01,-3.92E-01,-1.15E+00,-1.70E-01,-2.91E-01,-9.57E-01,-9.15E-02,-2.09E-01,-7.55E-01,-9.00E-04,-1.46E-01,-5.45E-01,5.82E-02
-7.78E-01,-1.37E+00,-2.33E-01,-4.58E-01,-1.19E+00,-1.66E-01,-3.14E-01,-8.87E-01,-5.60E-02,-2.20E-01,-6.73E-01,5.42E-02,-1.38E-01,2.69E-01,3.73E-01
-4.74E-01,-1.48E+00,-1.90E-01,-3.84E-01,-1.27E+00,-1.35E-01,-2.79E-01,-9.96E-01,-4.42E-02,-1.93E-01,-7.82E-01,4.24E-02,-1.07E-01,-6.57E-01,1.02E-01
-4.58E-01,-1.47E+00,-1.86E-01,-3.88E-01,-1.25E+00,-1.43E-01,-2.75E-01,-1.00E+00,-5.21E-02,-1.85E-01,-7.66E-01,3.06E-02,-9.16E-02,-6.57E-01,8.97E-02
-4.35E-01,-1.45E+00,-2.14E-01,-3.69E-01,-1.27E+00,-1.51E-01,-2.75E-01,-9.96E-01,-4.81E-02,-1.81E-01,-7.70E-01,4.24E-02,-9.94E-02,-6.77E-01,9.76E-02
