subject,kcal,x.mean,x.sd,x.cv,x.p10,x.p25,x.p50,x.p75,x.p90,x.skew,x.kurt,x.max,x.min,x.p2p,x.median,x.sum,x.mad,x.power,x.ACF,x.logen,x.iqr,x.vari,x.zeroc,x.Fas,x.Fan,x.FM,x.Faid,x.Fmax_0.25.5hz,x.FMmax_0.25.5hz,y.mean,y.sd,y.cv,y.p10,y.p25,y.p50,y.p75,y.p90,y.skew,y.kurt,y.max,y.min,y.p2p,y.median,y.sum,y.mad,y.power,y.ACF,y.logen,y.iqr,y.vari,y.zeroc,y.Fas,y.Fan,y.FM,y.Faid,y.Fmax_0.25.5hz,y.FMmax_0.25.5hz,z.mean,z.sd,z.cv,z.p10,z.p25,z.p50,z.p75,z.p90,z.skew,z.kurt,z.max,z.min,z.p2p,z.median,z.sum,z.mad,z.power,z.ACF,z.logen,z.iqr,z.vari,z.zeroc,z.Fas,z.Fan,z.FM,z.Faid,z.Fmax_0.25.5hz,z.FMmax_0.25.5hz,vm.mean,vm.sd,vm.cv,vm.p10,vm.p25,vm.p50,vm.p75,vm.p90,vm.skew,vm.kurt,vm.max,vm.min,vm.p2p,vm.median,vm.sum,vm.mad,vm.power,vm.ACF,vm.logen,vm.iqr,vm.vari,vm.zeroc,vm.Fas,vm.Fan,vm.FM,vm.Faid,vm.Fmax_0.25.5hz,vm.FMmax_0.25.5hz,xy,xz,yz
sample,3.783,0.569,0.578,1.016,-0.103,0.229,0.516,0.888,1.25,0.856,3.425,3.648,-1.02,4.668,118,569.073,0.478,657.639,0.877,-1541.052,0.659,0.334,60,0.567,54.706,0.018,17.593,2,0.16,0.753,0.654,0.868,-0.113,0.315,0.732,1.141,1.617,0.429,0.129,3.172,-0.68,3.852,78,752.733,0.609,993.424,0.938,-1167.296,0.826,0.427,42,0.527,73.957,0.014,23.251,3.7,0.289,0.035,0.293,8.461,-0.246,-0.113,0.023,0.172,0.379,-0.257,3.47,1.316,-1.387,2.703,157,34.578,0.209,86.708,0.768,#NAME?,0.285,0.086,145,0.661,7.56,0.132,246.257,4.1,0.074,1.181,0.586,0.496,0.565,0.808,1.083,1.452,1.865,1.478,4.19,4.84,0.058,4.783,92,1180.932,0.45,1737.772,0.902,87.221,0.644,0.344,0,0.442,106.335,0.009,13.643,3,0.251,0.005,-0.177,0.082
sample,3.433,-0.008,0.038,-4.934,-0.051,-0.023,-0.004,0.012,0.031,-0.424,7.372,0.207,-0.227,0.434,84,-7.639,0.028,1.478,0.963,#NAME?,0.035,0.001,81,0.665,1.503,0.665,0,0.5,0.021,0.99,0.025,0.026,0.969,0.98,0.988,1,1.012,1.452,10.559,1.176,0.895,0.281,165,990.399,0.012,981.534,0.903,-19.938,0.02,0.001,0,0,0,0,0,1.8,0.007,-0.111,0.058,-0.518,-0.168,-0.148,-0.117,-0.098,-0.055,2.101,6.016,0.168,-0.219,0.387,48,-111.296,0.036,15.71,0.985,#NAME?,0.05,0.003,3,0.665,1.503,0.665,0,0.8,0.032,0.999,0.026,0.026,0.977,0.989,0.997,1.008,1.02,2.028,15.929,1.218,0.903,0.314,172,999.019,0.013,998.722,0.903,-2.627,0.018,0.001,0,0.001,750,0.001,0,1.8,0.007,-0.246,-0.18,0.08
sample,1.283,0.129,0.124,0.956,0.012,0.043,0.105,0.215,0.273,0.978,3.252,0.801,-0.301,1.102,46,129.268,0.104,31.956,0.957,#NAME?,0.172,0.015,24,0.665,1.503,0.665,0,0.3,0.043,0.953,0.077,0.081,0.898,0.93,0.949,0.977,1.008,2.435,36.806,1.84,0.391,1.449,111,952.538,0.034,913.269,0.842,-103.62,0.047,0.006,0,0.019,310.345,0.003,3.189,2.7,0.014,-0.227,0.102,-0.447,-0.32,-0.301,-0.273,-0.188,-0.063,1.131,0.139,0.07,-0.379,0.449,46,-227.474,0.059,62.066,0.982,#NAME?,0.113,0.01,10,0.666,1.502,0.666,0,0.9,0.04,1.001,0.077,0.076,0.953,0.98,0.998,1.016,1.046,3.22,39.945,1.901,0.471,1.43,137,1000.721,0.026,1007.29,0.826,-3.99,0.036,0.006,0,0.016,375,0.003,3.098,3.5,0.013,0.102,0.312,0.269
sample,2.3,0.403,0.115,0.285,0.266,0.355,0.406,0.465,0.52,-0.301,2.877,0.988,-0.023,1.011,55,403.102,0.082,175.637,0.963,-1948.524,0.11,0.013,2,0.661,6.048,0.165,387.309,2.4,0.043,0.884,0.09,0.102,0.813,0.852,0.879,0.918,0.953,2.204,19.447,1.738,0.473,1.265,93,884.372,0.046,790.277,0.939,-255.469,0.066,0.008,0,0.061,211.957,0.005,8.893,3.1,0.029,0.145,0.098,0.681,0.016,0.098,0.16,0.203,0.238,-0.508,2.143,0.477,-0.27,0.747,43,144.517,0.07,30.556,0.957,#NAME?,0.105,0.01,24,0.665,1.503,0.665,0,1.1,0.05,0.994,0.092,0.092,0.917,0.966,0.991,1.019,1.048,2.319,18.069,1.813,0.594,1.218,95,994.015,0.04,996.471,0.944,-19.853,0.053,0.008,0,0.029,244.186,0.004,2.193,3.1,0.037,-0.058,0.435,-0.276
sample,2.15,0.169,0.201,1.188,-0.063,0.039,0.133,0.285,0.445,0.649,0.901,1.016,-0.441,1.457,78,169.41,0.168,69.15,0.957,#NAME?,0.246,0.04,56,0.661,4.536,0.22,175.386,2.1,0.075,0.964,0.22,0.229,0.699,0.827,0.949,1.07,1.246,0.667,1.065,1.871,0.406,1.465,81,963.91,0.179,977.687,0.957,-125.21,0.243,0.049,0,0.228,219.298,0.005,5.419,1.3,0.074,0.029,0.137,4.656,-0.137,-0.051,0.016,0.102,0.219,0.368,0.142,0.473,-0.34,0.813,65,29.345,0.117,19.512,0.966,#NAME?,0.153,0.019,68,0.665,1.503,0.665,0,0.4,0.05,1.008,0.223,0.221,0.769,0.863,0.976,1.115,1.292,0.963,1.53,1.952,0.443,1.509,92,1008.272,0.181,1066.349,0.958,-29.737,0.252,0.05,0,0.202,232.673,0.004,3.798,2.1,0.081,0.068,0.618,0.02
sample,1.95,0.15,0.275,1.841,-0.086,0.035,0.094,0.203,0.423,2.157,8.263,1.871,-0.555,2.426,65,149.5,0.11,97.986,0.93,#NAME?,0.168,0.076,39,0.655,12.208,0.082,161.11,3.2,0.105,0.979,0.386,0.395,0.706,0.918,0.984,1.02,1.318,0.233,6.158,2.98,-0.617,3.597,117,978.983,0.07,1107.435,0.94,-212.61,0.102,0.149,10,0.178,134.831,0.007,8.965,2.9,0.183,0.054,0.132,2.463,-0.074,-0.016,0.047,0.094,0.18,0.907,5.746,0.754,-0.598,1.352,71,53.595,0.082,20.278,0.916,#NAME?,0.11,0.017,59,0.665,1.503,0.665,0,1,0.049,1.047,0.361,0.345,0.768,0.956,0.997,1.05,1.416,1.739,6.851,2.999,0.058,2.942,112,1046.738,0.067,1225.7,0.94,-32.481,0.094,0.13,0,0.186,129.032,0.008,8.885,2.9,0.163,0.18,0.216,0.256
sample,1.017,0.371,0.244,0.659,0.07,0.253,0.355,0.477,0.672,0.574,2.477,1.605,-0.5,2.105,86,370.534,0.169,196.909,0.906,#NAME?,0.224,0.06,23,0.642,21.807,0.046,98.23,0.3,0.098,0.901,0.232,0.257,0.691,0.805,0.91,0.973,1.109,-0.126,10.311,2.469,-0.77,3.239,104,900.675,0.122,864.878,0.907,-263.846,0.168,0.054,2,0.199,201.342,0.005,6.59,4.1,0.086,0.037,0.198,5.354,-0.16,-0.09,0.016,0.129,0.242,1.748,7.275,1.465,-0.512,1.977,67,37.059,0.157,40.709,0.92,#NAME?,0.219,0.039,66,0.665,3.009,0.332,553.665,0.3,0.062,1.027,0.218,0.212,0.825,0.938,0.988,1.059,1.272,2.37,11.788,2.935,0.43,2.505,124,1027.154,0.093,1102.496,0.882,15.431,0.121,0.047,0,0.137,269.417,0.004,2.784,4.1,0.093,-0.114,0.337,0.17
sample,3.833,0.385,0.696,1.81,-0.376,0.003,0.324,0.643,1.174,0.851,2.604,3.758,-1.949,5.707,151,384.751,0.477,632.426,0.839,#NAME?,0.64,0.485,118,0.623,43.362,0.023,30.917,3.8,0.219,0.898,0.822,0.915,-0.004,0.275,0.789,1.286,1.966,0.992,1.463,4.508,-1.176,5.684,111,898.376,0.759,1481.989,0.883,#NAME?,1.011,0.676,74,0.542,77.491,0.013,14.327,3.8,0.514,-0.214,0.411,-1.921,-0.703,-0.469,-0.228,0.02,0.297,0.14,1.838,2.031,-1.715,3.746,128,-214.176,0.362,214.93,0.872,#NAME?,0.489,0.169,107,0.665,3.009,0.332,388.202,3.8,0.192,1.291,0.815,0.631,0.428,0.744,1.043,1.717,2.515,1.198,1.195,4.581,0.14,4.44,112,1290.689,0.618,2329.345,0.891,118.23,0.972,0.664,0,0.493,105.405,0.009,8.026,3.8,0.505,0.186,0.012,-0.338
sample,1.833,0.201,0.108,0.54,0.137,0.168,0.188,0.215,0.285,1.687,10.189,0.859,-0.348,1.207,74,200.826,0.034,52.064,0.928,-3371.212,0.047,0.012,6,0.665,3.009,0.332,16.263,4.6,0.029,0.951,0.074,0.078,0.891,0.945,0.965,0.977,0.988,-2.212,12.375,1.273,0.469,0.804,113,950.692,0.022,909.254,0.899,-108.238,0.032,0.005,0,0.027,187.5,0.005,5.657,1.8,0.027,0.147,0.128,0.872,0.02,0.047,0.094,0.234,0.313,1.248,2.11,0.871,-0.031,0.902,20,146.94,0.11,38,0.985,#NAME?,0.187,0.016,9,0.664,3.012,0.332,4.243,0.3,0.047,0.997,0.071,0.071,0.964,0.982,0.991,1,1.045,2.339,19.599,1.69,0.736,0.954,160,997.141,0.013,999.319,0.88,-10.444,0.017,0.005,0,0.029,313.953,0.003,3.073,1.8,0.028,-0.192,0.273,-0.368
sample,1.45,-0.053,0.08,-1.502,-0.137,-0.094,-0.043,-0.012,0.031,-0.719,3.122,0.164,-0.449,0.613,49,-53.272,0.064,9.231,0.983,#NAME?,0.082,0.006,33,0.665,1.503,0.665,0,0.5,0.049,0.885,0.061,0.069,0.805,0.844,0.883,0.926,0.969,0.032,-0.146,1.063,0.664,0.399,55,884.969,0.058,786.868,0.976,-249.153,0.082,0.004,0,0.057,209.302,0.005,3.881,0.5,0.036,-0.444,0.093,-0.209,-0.547,-0.512,-0.457,-0.398,-0.309,0.902,0.402,-0.184,-0.602,0.418,35,-443.785,0.087,205.552,0.994,-1679.207,0.114,0.009,0,0.666,1.502,0.666,0,0.3,0.065,1,0.036,0.036,0.962,0.984,0.998,1.014,1.04,0.413,2.701,1.158,0.841,0.317,135,1000.18,0.022,1001.65,0.944,-0.922,0.029,0.001,0,0,0,0,0,2.9,0.015,0.261,0.312,0.746
