Participant,TimeSec,Mean_APthighX,Mean_APthighY,Mean_APthighZ,Var_APthighX,Var_APthighY,Var_APthighZ
1,3600,68.9,130.1,117.1,3503.5,2384.5,1839
1,3630,69.2,129.8,116.9,3630.1,1967.2,1797.6
1,3660,71.5,129.3,115.9,3637.8,2130.8,1759.7
1,3690,70.5,132.5,116.7,3733,2215,2062.7
1,3720,68,130.5,112.4,2382.5,1419,1233.6
1,3750,64.4,130.2,113.5,957.3,527.8,694.1
1,3780,64.7,129.5,125.8,1066.2,510.2,481
1,3810,65.1,130.6,125.1,970.1,481,403.9
1,3840,63.8,129.9,125.2,922.4,461.2,456.7
1,3870,65.5,130.1,125,974.9,574.5,482.6
1,3900,64.7,130.7,123.3,977.9,578.7,415.5
1,3930,64.2,129.6,124.7,936.4,484.3,443.5
1,3960,65.4,130.4,124.7,1034.8,620.8,514.8
1,3990,64.3,130.8,123.1,1014.6,553.1,433.3
1,4020,64,132.8,124.1,948.4,534.7,419.6
1,4050,65.4,132.6,123.4,994.8,596.7,452.9
1,4080,65.6,131.6,123.3,1034.6,594.2,462.6
1,4110,64.8,132.5,124.4,965.2,519.4,456.9
1,4140,64.5,133.4,125.2,1065.7,548.1,433.3
1,4170,65.3,131.9,124.7,1050.1,606.2,526.4
1,4200,64.7,132.5,122.6,1062.4,687.1,474.9
1,4230,65.2,131.3,112.8,540.5,434.1,419.7
1,4260,63.6,133.8,112.8,1736.4,996.2,1078.9
1,4290,64.9,134.4,110.9,1833.2,1132,1122.4
1,4320,64.3,135.5,112.5,1724.3,1073.1,1167.1
1,4350,77.7,138,125,2267.3,1270.6,1787.7
1,4380,86.8,136.5,126.1,911.5,536.3,1138.2
1,4410,62.8,134.9,116,606.8,268.7,375.5
1,4440,62.5,134.6,115.8,770.2,288.1,534.8
1,4470,65.1,127,135.1,123.8,53,169
1,4500,62.9,132.9,117.9,868,317.4,577.5
1,4530,63.7,132.8,117.1,1226.6,352,773.7
1,4560,62.7,133.3,117.5,1128.3,376.6,794.3
1,4590,63.8,133.4,117,1187.6,356.1,773.6
1,4620,62.7,133,117,1154.5,364.5,787
1,4650,64.7,132.9,117.2,1266.2,406.2,828.3
1,4680,63.4,132.8,116.8,1282.5,404.1,793.3
1,4710,63.2,132.9,117,1184,450.3,753.2
1,4740,62.8,133.3,117.4,1180.3,382.8,826.7
1,4770,63.7,133.2,117.3,1242.3,376.8,858.9
1,4800,63.6,133.4,116.4,1227.5,381.8,831
1,4830,62.6,133.5,117.2,1261.2,423.4,877.7
1,4860,65.7,130,112.3,795.2,332.9,555.2
1,4890,64.5,133.8,113.3,704,255.4,496.1
1,4920,103.1,131.5,181.1,0.8,1.2,0.1
1,4950,103.6,131.9,181.1,2.4,0.4,0.2
1,4980,104.5,131.4,181.1,8.1,17.2,2.2
1,5010,106.7,127.8,182.1,3.1,2.2,0.5
1,5040,107,128.2,182,0,0.2,0
1,5070,106.4,129.4,182,0.4,0.9,0
1,5100,108.5,128.9,182.9,2.4,2.6,0.3
1,5130,107,129,182,0,0,0
1,5160,107.3,128.7,182,0.2,0.2,0
1,5190,101.6,124.8,174.3,323.4,111.5,331.3
